F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,Class,Index
-2.00E+00,5.00E+00,5.00E+00,6.00E+00,5.00E+00,5.00E+00,2.00E+00,6.00E+00,6.00E+00,1.00E+00,1.00E+01,2.00E+00,6.00E+00,5.00E+00,2.00E+00,1.20E+01,5.00E+00,5.00E+00,5.00E+00,3.00E+00,2.00E+00,-2.00E+00,2.00E+00,2.00E+00,1,1
2.00E+00,2.00E+00,-2.00E+00,2.00E+00,3.00E+00,2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,2.00E+00,2.00E+00,1.70E+01,2.00E+00,5.00E+00,2.00E+00,1.00E+00,-1.00E+00,2.00E+00,-2.00E+00,-2.00E+00,3.00E+00,-2.00E+00,1,3
2.00E+00,2.00E+00,-2.00E+00,2.00E+00,-3.00E+00,2.00E+00,-1.00E+00,-1.00E+00,2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-3.00E+00,-2.00E+00,-2.00E+00,-4.00E+00,-5.00E+00,-4.00E+00,-2.00E+00,-1.10E+01,-4.00E+00,-3.00E+00,-4.00E+00,-1,4
-9.00E+00,-3.00E+00,-7.00E+00,-2.00E+00,-7.00E+00,-2.00E+00,-2.00E+00,-1.30E+01,-3.00E+00,-1.30E+01,5.00E+00,-5.00E+00,-4.00E+00,-2.00E+00,1.20E+01,-3.00E+00,-4.00E+00,-6.00E+00,-2.00E+00,-1.20E+01,-1.30E+01,2.00E+00,2.00E+00,-2.00E+01,-1,6
2.00E+00,3.00E+00,1.00E+00,-2.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.00E+00,0.00E+00,2.00E+00,2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,2.00E+00,-2.00E+00,3.00E+00,-4.00E+00,2.00E+00,3.00E+00,4.00E+00,2.00E+00,2.00E+00,0,8
-1.90E+01,-5.00E+00,-5.00E+00,-6.00E+00,2.00E+00,3.00E+00,2.00E+00,3.00E+00,-6.00E+00,7.00E+00,-2.00E+00,-3.00E+00,2.00E+00,-1.40E+01,2.00E+00,2.00E+00,-2.00E+00,-6.00E+00,-8.00E+00,-3.00E+00,-3.00E+00,1.00E+00,-1.00E+00,-2.00E+00,-1,10
-1.90E+01,-1.30E+01,-2.00E+01,-2.00E+00,-4.00E+00,-1.60E+01,-2.00E+00,-2.00E+00,-2.00E+00,-1.80E+01,-2.00E+01,-2.00E+01,-2.00E+01,-1.70E+01,-1.50E+01,-1.90E+01,-2.00E+01,-2.00E+00,-1.30E+01,-1.90E+01,-1.50E+01,-2.00E+01,-1.80E+01,-1.90E+01,-1,12
-2.00E+00,2.00E+00,-1.00E+00,-1.00E+00,1.00E+00,2.00E+00,2.00E+00,-2.00E+00,2.00E+00,-2.00E+00,-2.00E+00,-1.00E+00,-1.00E+00,1.00E+00,1.00E+00,-1.00E+00,-1.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-1.00E+00,-1.00E+00,1.00E+00,-2.00E+00,-1,13
1.40E+01,1.30E+01,1.00E+01,1.70E+01,1.50E+01,3.00E+00,1.70E+01,1.20E+01,1.40E+01,2.00E+00,3.00E+00,-2.00E+00,1.10E+01,2.00E+00,3.00E+00,1.30E+01,1.00E+01,5.00E+00,3.00E+00,1.50E+01,1.40E+01,1.20E+01,3.00E+00,6.00E+00,1,15
-2.00E+00,-2.00E+00,1.00E+00,-2.00E+00,2.00E+00,-2.00E+00,-2.00E+00,1.00E+00,-2.00E+00,-1.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,2.00E+00,2.00E+00,3.00E+00,2.00E+00,1.00E+00,2.00E+00,-2.00E+00,-2.00E+00,1.00E+00,2.00E+00,0,19
1.00E+01,7.00E+00,3.00E+00,6.00E+00,6.00E+00,8.00E+00,1.30E+01,9.00E+00,1.00E+01,1.00E+01,9.00E+00,9.00E+00,5.00E+00,1.30E+01,2.00E+00,6.00E+00,1.00E+01,1.00E+01,1.50E+01,6.00E+00,2.00E+01,5.00E+00,2.00E+01,2.00E+01,1,25
-2.00E+00,-2.00E+00,-5.00E+00,-3.00E+00,2.00E+00,-6.00E+00,-1.00E+01,-2.00E+00,2.00E+00,-1.00E+00,-2.00E+00,3.00E+00,2.00E+00,-1.00E+00,-2.00E+00,6.00E+00,3.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,1.00E+00,-2.00E+00,-6.00E+00,-6.00E+00,0,27
-2.00E+00,-5.00E+00,-6.00E+00,-6.00E+00,-4.00E+00,-2.00E+00,-4.00E+00,-4.00E+00,-6.00E+00,-7.00E+00,-6.00E+00,-2.00E+00,-2.00E+00,-1.00E+00,-7.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-5.00E+00,-3.00E+00,-2.00E+00,-1.00E+00,1.00E+00,-2.00E+00,-1,29
-1.00E+01,-3.00E+00,-1.00E+01,-5.00E+00,-5.00E+00,-5.00E+00,-8.00E+00,-3.00E+00,-3.00E+00,-7.00E+00,-1.00E+01,-5.00E+00,-6.00E+00,-6.00E+00,-6.00E+00,-7.00E+00,-5.00E+00,-2.00E+00,-9.00E+00,-3.00E+00,-2.00E+00,-8.00E+00,-2.00E+00,3.00E+00,-1,30
-2.00E+00,2.00E+00,1.00E+00,-2.00E+00,1.00E+00,2.00E+00,-2.00E+00,2.00E+00,2.00E+00,-4.00E+00,-2.00E+00,-2.00E+00,-6.00E+00,2.00E+00,2.00E+00,2.00E+01,2.00E+00,1.90E+01,-8.00E+00,-2.00E+00,-2.00E+00,2.00E+00,-2.00E+00,1.20E+01,0,32
-5.00E+00,-6.00E+00,2.00E+00,-2.00E+00,-1.00E+00,-2.00E+00,2.00E+00,-5.00E+00,-5.00E+00,-7.00E+00,-6.00E+00,-2.00E+00,-6.00E+00,-8.00E+00,-6.00E+00,-8.00E+00,-1.10E+01,-8.00E+00,-7.00E+00,-6.00E+00,-8.00E+00,-4.00E+00,-5.00E+00,-1.00E+01,-1,34
2.00E+01,2.00E+01,1.60E+01,2.00E+01,2.00E+01,1.70E+01,1.30E+01,1.20E+01,6.00E+00,1.80E+01,1.30E+01,6.00E+00,9.00E+00,1.20E+01,9.00E+00,-3.00E+00,-2.00E+01,9.00E+00,6.00E+00,1.00E+01,7.00E+00,1.10E+01,6.00E+00,-3.00E+00,1,35
2.00E+00,2.00E+00,2.00E+00,-2.00E+00,-2.00E+00,2.00E+00,-2.00E+00,-3.00E+00,2.00E+00,-1.00E+00,-2.00E+00,2.00E+00,1.00E+00,-2.00E+00,2.00E+00,-2.00E+00,-2.00E+00,2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-1,38
2.00E+00,2.00E+00,1.00E+00,-1.00E+00,1.00E+00,2.00E+00,-2.00E+00,-1.00E+00,2.00E+00,1.00E+00,2.00E+00,1.00E+00,-2.00E+00,1.00E+00,2.00E+00,-2.00E+00,-1.00E+00,2.00E+00,-1.00E+00,-2.00E+00,1.00E+00,-1.00E+00,2.00E+00,2.00E+00,1,40
7.00E+00,3.00E+00,3.00E+00,-3.00E+00,-2.00E+00,2.00E+00,-6.00E+00,-3.00E+00,-6.00E+00,-2.00E+00,-2.00E+00,-3.00E+00,-1.80E+01,2.00E+00,-1.00E+01,-9.00E+00,-7.00E+00,-3.00E+00,-2.00E+00,-2.00E+00,-6.00E+00,-6.00E+00,-9.00E+00,-1.20E+01,-1,45
2.00E+00,-2.00E+00,-1.00E+00,-2.00E+00,3.00E+00,2.00E+00,-2.00E+00,-2.00E+00,-6.00E+00,-9.00E+00,-6.00E+00,2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-6.00E+00,-3.00E+00,-2.00E+00,1.00E+00,-2.00E+00,-2.00E+00,-1.50E+01,-2.00E+00,2.00E+00,0,46
2.00E+00,6.00E+00,8.00E+00,5.00E+00,-1.00E+00,-2.00E+00,2.00E+00,1.00E+00,-3.00E+00,4.00E+00,-4.00E+00,2.00E+00,4.00E+00,-2.00E+00,1.10E+01,2.00E+00,6.00E+00,7.00E+00,1.70E+01,2.00E+00,3.00E+00,4.00E+00,2.00E+00,6.00E+00,1,53
-6.00E+00,-7.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,2.00E+00,-2.00E+01,-2.00E+00,-2.00E+00,-1.80E+01,-8.00E+00,-2.00E+00,-8.00E+00,-1.10E+01,-1.90E+01,-3.00E+00,3.00E+00,-2.00E+00,-1.10E+01,-3.00E+00,-2.00E+00,-1.10E+01,-2.00E+00,-7.00E+00,-1,55
-6.00E+00,-3.00E+00,-8.00E+00,-1.00E+01,-6.00E+00,-8.00E+00,-1.20E+01,-1.20E+01,-1.10E+01,-8.00E+00,-3.00E+00,-3.00E+00,-2.00E+00,-7.00E+00,-7.00E+00,-6.00E+00,-2.00E+00,-3.00E+00,-3.00E+00,-2.00E+00,2.00E+00,2.00E+00,-2.00E+00,-2.00E+00,-1,56
-2.00E+00,2.00E+00,1.00E+00,2.00E+00,-2.00E+00,2.00E+00,-1.00E+00,-1.00E+00,2.00E+00,1.00E+00,2.00E+00,2.00E+00,2.00E+00,-2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,1.00E+00,-2.00E+00,-2.00E+00,2.00E+00,2.00E+00,2.00E+00,1,59
-2.00E+00,-3.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-1.00E+01,-2.00E+00,-6.00E+00,2.00E+00,-2.00E+00,-9.00E+00,-1.00E+00,-1.00E+00,-2.00E+00,-1.00E+00,-6.00E+00,-2.00E+00,-2.00E+00,-3.00E+00,2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-1,16
2.00E+00,1.50E+01,6.00E+00,2.00E+00,-1.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,1.00E+00,2.00E+00,-2.00E+00,1.00E+00,-2.00E+00,-2.00E+00,1.00E+00,-2.00E+00,1.00E+00,-1.00E+00,4.00E+00,-1.00E+00,1.00E+00,-3.00E+00,-2.00E+00,0,28
2.00E+00,-1.00E+00,-1.00E+00,1.00E+00,-1.00E+00,-1.00E+00,1.00E+00,2.00E+00,-2.00E+00,-1.00E+00,-2.00E+00,2.00E+00,-1.00E+00,-1.00E+00,2.00E+00,2.00E+00,2.00E+00,-1.00E+00,-1.00E+00,1.00E+00,-2.00E+00,2.00E+00,-2.00E+00,2.00E+00,-1,30
-2.00E+00,-2.00E+00,-6.00E+00,-5.00E+00,-2.00E+00,-9.00E+00,-3.00E+00,-2.00E+00,-2.00E+00,-8.00E+00,-3.00E+00,-3.00E+00,-6.00E+00,-1.50E+01,-1.50E+01,-1.10E+01,-1.10E+01,-1.10E+01,-5.00E+00,-9.00E+00,-1.20E+01,2.00E+00,-8.00E+00,-5.00E+00,-1,33
1.00E+00,-1.00E+00,1.00E+00,1.00E+00,2.00E+00,2.00E+00,2.00E+00,1.00E+00,-1.00E+00,-1.00E+00,1.00E+00,-2.00E+00,2.00E+00,1.00E+00,-1.00E+00,2.00E+00,1.00E+00,2.00E+00,1.00E+00,2.00E+00,1.00E+00,1.00E+00,-1.00E+00,1.00E+00,1,39
-6.00E+00,-6.00E+00,-2.00E+00,-2.00E+00,-2.00E+01,-2.00E+00,-3.00E+00,-3.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-1.20E+01,-6.00E+00,-8.00E+00,-2.00E+01,-2.00E+00,-1.10E+01,-2.00E+00,2.00E+00,-8.00E+00,-1.60E+01,-1.70E+01,-1.60E+01,-1.70E+01,-1,42
2.00E+00,3.00E+00,-5.00E+00,6.00E+00,2.00E+00,-2.00E+00,-2.00E+00,1.20E+01,-2.00E+00,-9.00E+00,1.00E+00,3.00E+00,2.00E+00,-2.00E+00,1.00E+01,1.00E+01,1.50E+01,2.00E+00,2.00E+00,1.10E+01,-6.00E+00,1.80E+01,2.00E+00,-6.00E+00,1,61
-2.00E+01,1.00E+00,-5.00E+00,-2.00E+00,-1.00E+00,-2.00E+00,-2.00E+00,2.00E+00,1.00E+01,2.00E+00,2.00E+00,-2.00E+00,2.00E+00,1.00E+00,-1.30E+01,2.00E+00,-2.00E+00,2.00E+00,2.00E+00,-8.00E+00,-2.00E+00,2.00E+00,2.00E+00,1.40E+01,1,66
-2.00E+00,1.00E+00,2.00E+00,0.00E+00,2.00E+00,1.00E+00,1.00E+00,1.00E+00,-1.00E+00,0.00E+00,-1.00E+00,1.00E+00,0.00E+00,-1.00E+00,-1.00E+00,1.00E+00,-1.00E+00,1.00E+00,0.00E+00,1.00E+00,-2.00E+00,2.00E+00,-1.00E+00,-2.00E+00,0,70
-2.00E+00,1.00E+00,2.00E+00,1.00E+00,-2.00E+00,-2.00E+00,2.00E+00,1.00E+00,2.00E+00,2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,1.00E+00,2.00E+00,2.00E+00,-1.00E+00,1.00E+00,2.00E+00,-3.00E+00,2.00E+00,1.00E+00,-2.00E+00,2.00E+00,-1,79
-2.00E+00,1.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,-1.00E+00,2.00E+00,-1.00E+00,2.00E+00,2.00E+00,-2.00E+00,2.00E+00,1.00E+00,2.00E+00,2.00E+00,1.00E+00,1.00E+00,-1.00E+00,-2.00E+00,2.00E+00,-1.00E+00,-1.00E+00,2.00E+00,1,81
-1.30E+01,-1.50E+01,2.00E+00,-1.80E+01,-1.60E+01,-1.50E+01,-1.50E+01,-8.00E+00,-7.00E+00,-2.00E+00,-1.40E+01,-1.70E+01,-1.70E+01,-1.10E+01,-1.60E+01,-1.70E+01,-2.00E+01,2.00E+00,-2.00E+01,-2.00E+01,-6.00E+00,-7.00E+00,-2.00E+01,-7.00E+00,-1,82
-2.00E+00,1.00E+00,-2.00E+00,-1.00E+00,-2.00E+00,-2.00E+00,-1.00E+00,-3.00E+00,-6.00E+00,-1.60E+01,1.00E+00,2.00E+00,-2.00E+00,-2.00E+00,-3.00E+00,1.00E+00,-3.00E+00,-2.00E+00,-2.00E+00,2.00E+00,-2.00E+00,-2.00E+00,2.00E+00,-2.00E+00,-1,83
-2.00E+00,9.00E+00,-2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,-2.00E+00,2.00E+00,-2.00E+00,2.00E+00,-2.00E+00,2.00E+00,2.00E+00,2.00E+00,-2.00E+00,2.00E+00,2.00E+00,-1.00E+00,2.00E+00,2.00E+00,0,84
-2.00E+00,-2.00E+00,-2.00E+00,1.00E+00,1.00E+00,-2.00E+00,2.00E+00,2.00E+00,1.00E+00,2.00E+00,-2.00E+00,2.00E+00,-1.00E+00,1.00E+00,-2.00E+00,1.00E+00,-2.00E+00,2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-1,88
2.00E+00,6.00E+00,8.00E+00,-2.00E+00,2.00E+00,-3.00E+00,-2.00E+00,-3.00E+00,-3.00E+00,-2.00E+01,-2.00E+00,-2.00E+00,2.00E+00,3.00E+00,-1.00E+01,1.40E+01,3.00E+00,3.00E+00,-2.00E+00,-3.00E+00,7.00E+00,-2.00E+00,2.00E+00,-2.00E+00,0,91
1.00E+00,1.00E+00,-1.00E+00,0.00E+00,1.00E+00,-2.00E+00,-1.00E+00,1.00E+00,1.00E+00,2.00E+00,1.00E+00,2.00E+00,2.00E+00,-1.00E+00,2.00E+00,1.00E+00,2.00E+00,5.00E+00,2.00E+00,2.00E+00,2.00E+00,1.00E+00,-2.00E+00,1.00E+00,0,94
2.00E+00,2.00E+00,1.00E+00,1.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,3.00E+00,2.00E+00,2.00E+00,2.00E+00,-1.00E+00,2.00E+00,2.00E+00,3.00E+00,2.00E+00,2.00E+00,2.00E+00,1.00E+00,1,99
2.00E+00,-1.00E+00,1.00E+00,2.00E+00,-1.00E+00,2.00E+00,2.00E+00,1.00E+00,-2.00E+00,2.00E+00,2.00E+00,5.00E+00,2.00E+00,-1.00E+00,2.00E+00,-2.00E+00,-6.00E+00,6.00E+00,3.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,1.00E+01,1,100
1.70E+01,3.00E+00,1.10E+01,1.40E+01,1.20E+01,1.70E+01,6.00E+00,1.40E+01,1.70E+01,1.80E+01,2.00E+00,7.00E+00,6.00E+00,1.50E+01,1.80E+01,1.40E+01,1.70E+01,1.80E+01,1.80E+01,1.80E+01,1.60E+01,1.40E+01,1.40E+01,1.30E+01,1,101
2.00E+00,2.00E+00,1.00E+00,2.00E+00,-2.00E+00,2.00E+00,1.00E+00,-1.00E+00,3.00E+00,2.00E+00,1.00E+00,-2.00E+00,2.00E+00,1.00E+00,-2.00E+00,2.00E+00,-2.00E+00,2.00E+00,1.00E+00,-2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,0,105
2.00E+00,1.00E+00,1.00E+00,0.00E+00,-1.00E+00,-2.00E+00,2.00E+00,-1.00E+00,2.00E+00,-2.00E+00,-2.00E+00,2.00E+00,1.00E+00,-1.00E+00,-2.00E+00,-1.00E+00,-1.20E+01,2.00E+00,-5.00E+00,-1.00E+00,-4.00E+00,-2.00E+00,-5.00E+00,-3.00E+00,-1,106
-4.00E+00,2.00E+00,-6.00E+00,4.00E+00,7.00E+00,-2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+01,3.00E+00,-5.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,2.00E+00,2.00E+00,-3.00E+00,-2.00E+00,-1.20E+01,-2.00E+00,-8.00E+00,0,107
2.00E+00,1.00E+00,2.00E+00,0.00E+00,-1.00E+00,2.00E+00,-1.00E+00,1.00E+00,1.00E+00,0.00E+00,-2.00E+00,2.00E+00,2.00E+00,-2.00E+00,2.00E+00,-2.00E+00,-2.00E+00,2.00E+00,1.00E+00,3.00E+00,2.00E+00,-1.00E+00,2.00E+00,-2.00E+00,1,108
1.30E+01,1.40E+01,1.40E+01,6.00E+00,5.00E+00,1.00E+01,3.00E+00,1.00E+01,1.10E+01,1.30E+01,1.00E+01,2.00E+01,2.00E+01,1.00E+01,6.00E+00,9.00E+00,2.00E+00,1.00E+01,3.00E+00,1.40E+01,1.70E+01,5.00E+00,2.00E+00,1.10E+01,1,109
-3.00E+00,2.00E+00,1.00E+00,2.00E+00,-1.00E+00,2.00E+00,1.00E+00,2.00E+00,-1.00E+00,2.00E+00,-2.00E+00,2.00E+00,2.00E+00,1.00E+00,2.00E+00,2.00E+00,-2.00E+00,2.00E+00,1.00E+00,2.00E+00,-1.00E+00,2.00E+00,2.00E+00,2.00E+00,1,111
